"data_years","borough","zip_code","indicator","zip_code_rate"
"2016-2018","Bronx",10471,"ed_visits_rate","98.7"
"2016-2018","Bronx",10459,"ed_visits_rate","362.4"
"2016-2018","Bronx",10469,"ed_visits_rate","329.3"
"2016-2018","Bronx",10466,"ed_visits_rate","324.1"
"2016-2018","Bronx",10467,"ed_visits_rate","451.4"
"2016-2018","Bronx",10468,"ed_visits_rate","315.7"
"2016-2018","Bronx",10453,"ed_visits_rate","355"
"2016-2018","Bronx",10474,"ed_visits_rate","375.2"
"2016-2018","Bronx",10454,"ed_visits_rate","655.6"
"2016-2018","Bronx",10458,"ed_visits_rate","370.4"
"2016-2018","Bronx",10465,"ed_visits_rate","193.1"
"2016-2018","Bronx",10460,"ed_visits_rate","416.1"
"2016-2018","Bronx",10472,"ed_visits_rate","315.2"
"2016-2018","Bronx",10452,"ed_visits_rate","372.1"
"2016-2018","Bronx",10464,"ed_visits_rate","188.2"
"2016-2018","Bronx",10462,"ed_visits_rate","268.2"
"2016-2018","Bronx",10455,"ed_visits_rate","534.1"
"2016-2018","Bronx",10457,"ed_visits_rate","491.7"
"2016-2018","Bronx",10473,"ed_visits_rate","340.6"
"2016-2018","Bronx",10456,"ed_visits_rate","484.2"
"2016-2018","Bronx",10475,"ed_visits_rate","193.6"
"2016-2018","Bronx",10470,"ed_visits_rate","236.8"
"2016-2018","Bronx",10451,"ed_visits_rate","601.6"
"2016-2018","Bronx",10461,"ed_visits_rate","241.2"
"2016-2018","Bronx",10463,"ed_visits_rate","178.6"
"2016-2018","Brooklyn",11238,"ed_visits_rate","171.1"
"2016-2018","Brooklyn",11232,"ed_visits_rate","105"
"2016-2018","Brooklyn",11235,"ed_visits_rate","69.6"
"2016-2018","Brooklyn",11239,"ed_visits_rate","318.3"
"2016-2018","Brooklyn",11236,"ed_visits_rate","232.9"
"2016-2018","Brooklyn",11206,"ed_visits_rate","284.7"
"2016-2018","Brooklyn",11230,"ed_visits_rate","47.4"
"2016-2018","Brooklyn",11229,"ed_visits_rate","62"
"2016-2018","Brooklyn",11237,"ed_visits_rate","194.5"
"2016-2018","Brooklyn",11224,"ed_visits_rate","243"
"2016-2018","Brooklyn",11216,"ed_visits_rate","227.7"
"2016-2018","Brooklyn",11221,"ed_visits_rate","272"
"2016-2018","Brooklyn",11234,"ed_visits_rate","100.8"
"2016-2018","Brooklyn",11218,"ed_visits_rate","61.5"
"2016-2018","Brooklyn",11213,"ed_visits_rate","276.5"
"2016-2018","Brooklyn",11205,"ed_visits_rate","154.6"
