"date_group","indicator","avg_temperature"
"2016-2018","bronx",12.2718065693431
"2016-2018","brooklyn",12.4268248175182
"2016-2018","manhattan",12.1598540145985
"2016-2018","queens",12.2521897810219
"2016-2018","staten_island",12.4142335766423
"2019-2021","bronx",12.4997262773723
"2019-2021","brooklyn",12.6151459854015
"2019-2021","manhattan",12.3667883211679
"2019-2021","queens",12.3777372262774
"2019-2021","staten_island",12.5692518248175
