"data_years","borough","zip_code","indicator","zip_code_rate"
"2019-2021","Bronx",10462,"ed_visits_rate","138.5"
"2019-2021","Bronx",10467,"ed_visits_rate","231.1"
"2019-2021","Bronx",10463,"ed_visits_rate","88.2"
"2019-2021","Bronx",10454,"ed_visits_rate","322.1"
"2019-2021","Bronx",10461,"ed_visits_rate","134.6"
"2019-2021","Bronx",10468,"ed_visits_rate","163.4"
"2019-2021","Bronx",10457,"ed_visits_rate","252.7"
"2019-2021","Bronx",10465,"ed_visits_rate","117"
"2019-2021","Bronx",10459,"ed_visits_rate","180"
"2019-2021","Bronx",10460,"ed_visits_rate","218.9"
"2019-2021","Bronx",10474,"ed_visits_rate","199.3"
"2019-2021","Bronx",10458,"ed_visits_rate","200.9"
"2019-2021","Bronx",10456,"ed_visits_rate","242.8"
"2019-2021","Bronx",10464,"ed_visits_rate","69.1"
"2019-2021","Bronx",10455,"ed_visits_rate","264.9"
"2019-2021","Bronx",10466,"ed_visits_rate","187.6"
"2019-2021","Bronx",10451,"ed_visits_rate","308.5"
"2019-2021","Bronx",10471,"ed_visits_rate","50.8"
"2019-2021","Bronx",10469,"ed_visits_rate","168.2"
"2019-2021","Bronx",10472,"ed_visits_rate","160.5"
"2019-2021","Bronx",10473,"ed_visits_rate","182.8"
"2019-2021","Bronx",10475,"ed_visits_rate","100.9"
"2019-2021","Bronx",10452,"ed_visits_rate","193"
"2019-2021","Bronx",10470,"ed_visits_rate","167.3"
"2019-2021","Bronx",10453,"ed_visits_rate","173.7"
"2019-2021","Brooklyn",11233,"ed_visits_rate","162.2"
"2019-2021","Brooklyn",11234,"ed_visits_rate","64"
"2019-2021","Brooklyn",11205,"ed_visits_rate","80.2"
"2019-2021","Brooklyn",11218,"ed_visits_rate","27.9"
"2019-2021","Brooklyn",11230,"ed_visits_rate","22.2"
"2019-2021","Brooklyn",11232,"ed_visits_rate","65.6"
"2019-2021","Brooklyn",11215,"ed_visits_rate","28.8"
"2019-2021","Brooklyn",11206,"ed_visits_rate","142"
"2019-2021","Brooklyn",11231,"ed_visits_rate","70.9"
"2019-2021","Brooklyn",11222,"ed_visits_rate","43"
"2019-2021","Brooklyn",11216,"ed_visits_rate","113.8"
"2019-2021","Brooklyn",11208,"ed_visits_rate","143.7"
"2019-2021","Brooklyn",11237,"ed_visits_rate","84.6"
"2019-2021","Brooklyn",11236,"ed_visits_rate","133.8"
"2019-2021","Brooklyn",11207,"ed_visits_rate","176.2"
"2019-2021","Brooklyn",11212,"ed_visits_rate","231.1"
